variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags,ins_number,compound_name,nutrient_class,dairy_product_subtype,milling_grade,oil_fraction,protein_fraction,sugar_form,language_tag,f_revised
apple flavouring,apple,extract/oleoresin,extract/oleoresin,flavouring agent,solvent extraction,NULL,taste profile / spice,0,0.86,0.675,0.82,0.86,0.675,0.528,0.774,2,True,False,,,,,,,,,,flavouring agent
arrowroot powder,arrowroot,NULL,powder,base ingredient,NULL,starch flour,thickener,0,0.42,0.12,0,0.6,0.615,0.174,0.426,1,True,False,,,,,,,,,,processed_ingredient
chick peas flour,chickpea,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
split chick peas,chickpea,NULL,cut/sliced pieces,base ingredient,NULL,NULL,NULL,0,0.1,0.12,0,0.1,0.12,0.078,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
black tea leaves,tea,NULL,leaf,flavouring agent,fermentation,NULL,taste profile / spice,0,0,0.675,0.56,0,0.675,0.27,0.438,1,True,False,,,,,,,,,,flavouring agent
assam tea leaves,tea,NULL,leaf,flavouring agent,fermentation,NULL,taste profile / spice,0,0,0.675,0.56,0,0.675,0.27,0.438,1,True,False,,,,,,,,,,flavouring agent
butter from milk,milk,churning,fat fraction,lipid base,NULL,NULL,flavouring agent,0.45,0.72,0.22,0.45,0.72,0.675,0.439,0.621,2,False,False,,,,,,,,,,lipid base
microbial rennet,synthetic,NULL,NULL,base ingredient,fermentation,concentrate,NULL,0,0,0.12,0.56,0.4,0.12,0.048,0.336,1,True,False,,,,,,,,,,fermentation_agent
pasteurized milk,milk,pasteurization,NULL,base ingredient,NULL,NULL,NULL,0.48,0,0.12,0.48,0,0.12,0.192,0.192,1,False,False,,,,,,,,,,raw_agricultural_material
processed cheese,milk,NULL,dense block,base ingredient,NULL,NULL,NULL,0,0.38,0.12,0,0.38,0.12,0.162,0.162,1,False,False,,,,hard_cheese,,,,,,processed_ingredient
red chili powder,chili,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False,,,,,,,,,,taste profile / spice
red chilli whole,chili,drying,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.05,0.18,0.42,0.05,0.675,0.213,0.411,1,True,False,,,,,,,,,,taste profile / spice
choline chloride,synthetic,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False,,,,,,,,,,NULL
diluent ins 1520,synthetic,NULL,crystalline chemical,carrier,NULL,NULL,NULL,0,0.98,0.94,0,0.98,0.94,0.67,0.67,2,False,False,1520,propylene glycol,,,,,,,,carrier
egg white powder,egg,drying,powder,base ingredient,NULL,NULL,foaming agent,0.42,0.42,0.12,0.42,0.42,0.725,0.3,0.542,2,False,False,,,,,,,,,,processed_ingredient
ferrous sulphate,mineral,NULL,crystalline chemical,antioxidant,NULL,NULL,NULL,0,0.98,0.875,0,0.98,0.875,0.644,0.644,2,False,False,,,mineral_nutrient,,,,,,,antioxidant
clarified butter,milk,clarification|churning,fat fraction,lipid base,NULL,NULL,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False,,,,,,,,,,lipid base
split green gram,green gram,NULL,cut/sliced pieces,base ingredient,NULL,NULL,NULL,0,0.1,0.12,0,0.1,0.12,0.078,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
green tea leaves,tea,NULL,leaf,flavouring agent,fermentation,NULL,taste profile / spice,0,0,0.675,0.56,0,0.675,0.27,0.438,1,True,False,,,,,,,,,,flavouring agent
guava flavouring,guava,NULL,extract/oleoresin,flavouring agent,extract/oleoresin,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False,,,,,,,,,,flavouring agent
honey flavouring,honey,NULL,NULL,flavouring agent,NULL,extract/oleoresin,sweetener,0,0,0.675,0,0.86,0.675,0.27,0.528,1,True,False,,,,,,,,,,flavouring agent
jamun flavouring,jamun,NULL,extract/oleoresin,flavouring agent,extract/oleoresin,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False,,,,,,,,,,flavouring agent
kewra flavouring,kewra,NULL,extract/oleoresin,flavouring agent,extract/oleoresin,essential oil,taste profile / spice,0,0.86,0.675,0,0.9,0.675,0.528,0.54,2,False,False,,,,,,,,,,flavouring agent
lactobilus casei,milk,fermentation,NULL,NULL,NULL,concentrate,?probiotic,0.56,0,0,0.56,0.4,0,0.168,0.288,1,False,True,,,,,,,,,,NULL
lemon flavouring,lemon,NULL,extract/oleoresin,flavouring agent,extract/oleoresin,essential oil,taste profile / spice,0,0.86,0.675,0,0.9,0.675,0.528,0.54,2,False,False,,,,,,,,,,flavouring agent
dairy flavouring,milk,NULL,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False,,,,,,,,,,flavouring agent
onion flavouring,onion,NULL,extract/oleoresin,flavouring agent,extract/oleoresin,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False,,,,,,,,,,flavouring agent
dehydrated onion,onion,drying,cut/sliced pieces,flavouring agent,NULL,NULL,taste profile / spice,0.42,0.1,0.675,0.42,0.1,0.675,0.426,0.426,2,False,False,,,,,,,,,,flavouring agent
pantothenic acid,synthetic | corn,NULL,crystalline chemical,NULL,fermentation,NULL,NULL,0,0.98,0,0.56,0.98,0,0.294,0.462,1,True,False,,,vitamin_water_soluble,,,,,,,NULL
potassium iodate,mineral,NULL,crystalline chemical,antioxidant,NULL,NULL,preservative,0,0.98,0.875,0,0.98,0.885,0.644,0.648,2,False,False,,,mineral_nutrient,,,,,,,antioxidant
potassium iodide,mineral,NULL,crystalline chemical,antioxidant,NULL,NULL,preservative,0,0.98,0.875,0,0.98,0.885,0.644,0.648,2,False,False,,,,,,,,,,antioxidant
gulab flavouring,rose,NULL,extract/oleoresin,flavouring agent,extract/oleoresin,essential oil,taste profile / spice,0,0.86,0.675,0,0.9,0.675,0.528,0.54,2,False,False,,,,,,,,,,flavouring agent
rosemary extract,rosemary,solvent extraction,extract/oleoresin,flavouring agent,NULL,essential oil,taste profile / spice,0.82,0.86,0.675,0.82,0.9,0.675,0.774,0.786,3,False,False,,,,,,,,,,flavouring agent
sodium molybdate,mineral,NULL,crystalline chemical,antioxidant,NULL,NULL,preservative,0,0.98,0.875,0,0.98,0.885,0.644,0.648,2,False,False,,,,,,,,,,antioxidant
soy sauce powder,soybean | wheat,fermentation,powder,taste profile / spice,NULL,NULL,flavouring agent,0.56,0.42,0.18,0.56,0.42,0.675,0.366,0.564,2,False,False,,,,,,,,,,taste profile / spice
star anise seeds,star anise,drying,NULL,taste profile / spice,NULL,whole/fresh pieces|powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False,,,,,,,,,,taste profile / spice
watermelon seeds,watermelon,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
blackberry puree,blackberry,NULL,pulp/puree,base ingredient,NULL,juice,NULL,0,0.25,0.12,0,0.5,0.12,0.123,0.198,1,False,False,,,,,,,,,,raw_agricultural_material
sodium caseinate,milk,NULL,protein concentrate,base ingredient,NULL,NULL,emulsifier,0,0.74,0.12,0,0.74,0.825,0.27,0.552,1,True,False,,,,,,,casein,,,processed_ingredient
cultured glucose,corn | tapioca,fermentation,NULL,sweetener,NULL,powder,NULL,0.56,0,0.625,0.56,0.42,0.625,0.418,0.544,2,False,False,,,,,,,,,,sweetener
improver ins 472,palm | soybean | sunflower,interesterification,emulsifier powder,emulsifier,NULL,NULL,flour treatment agent,0.91,0.89,0.825,0.91,0.89,0.93,0.87,0.912,3,False,False,472,,,,,,,,,emulsifier
gajar flavouring,carrot,NULL,extract/oleoresin,flavouring agent,extract/oleoresin,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False,,,,,,,,,,flavouring agent
microbial enzyme,synthetic,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,False,False,,,,,,,,,,fermentation_agent
ferrous fumarate,mineral,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False,,,,,,,,,,fortification_agent
glucuronolactone,synthetic | corn,NULL,crystalline chemical,NULL,fermentation,NULL,NULL,0,0.98,0,0.56,0.98,0,0.294,0.462,1,True,False,,,,,,,,,,NULL
quillaja extract,quillaja,solvent extraction,extract/oleoresin,foaming agent,NULL,NULL,emulsifier,0.82,0.86,0.725,0.82,0.86,0.825,0.794,0.834,3,False,False,,,,,,,,,,foaming agent
sourdough powder,wheat,fermentation|milling,powder,base ingredient,NULL,NULL,raising agent,0.56,0.42,0.12,0.56,0.42,0.475,0.342,0.484,2,False,False,,,,,,,,,,processed_ingredient
sardine fish oil,sardine,NULL,oil,lipid base,solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,,,,,lipid base
refined palmolein,palm,refining,oil,lipid base,cold pressing|solvent extraction,NULL,NULL,0.75,0.7,0.22,0.82,0.7,0.22,0.523,0.544,2,False,False,,,,,,refined,,,,lipid base
bakery shortening,palm | soybean | groundnut,interesterification,fat fraction,lipid base,hydrogenation,NULL,NULL,0.91,0.72,0.22,0.92,0.72,0.22,0.577,0.58,2,False,False,,,,,,,,,,lipid base
hydrogenated oils,palm | soybean | groundnut,hydrogenation,oil,lipid base,NULL,fat fraction,NULL,0.92,0.7,0.22,0.92,0.72,0.22,0.574,0.58,2,False,False,,,,,,hydrogenated,,,,lipid base
sauvarchalalavana,mineral,NULL,crystalline chemical,taste profile / spice,?compounding,NULL,flavouring agent,0,0.98,0.18,0.35,0.98,0.675,0.366,0.669,2,False,True,,,,,,,,,,taste profile / spice
dehydrated carrot,carrot,drying,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces|powder,NULL,0.42,0.05,0.12,0.42,0.42,0.12,0.189,0.3,1,True,False,,,,,,,,,,raw_agricultural_material
carrot flavouring,carrot,NULL,extract/oleoresin,flavouring agent,solvent extraction,NULL,taste profile / spice,0,0.86,0.675,0.82,0.86,0.675,0.528,0.774,2,True,False,,,,,,,,,,flavouring agent
color ins 160b ii,annatto,solvent extraction,extract/oleoresin,colour,NULL,NULL,NULL,0.82,0.86,0.8,0.82,0.86,0.8,0.824,0.824,3,False,False,160b,annatto extracts,,,,,,,,colour
chlorophyll color,green leaves,solvent extraction,extract/oleoresin,colour,NULL,NULL,NULL,0.82,0.86,0.8,0.82,0.86,0.8,0.824,0.824,3,False,False,,,,,,,,,,colour
color ins 160a ii,carrot,solvent extraction,extract/oleoresin,colour,NULL,NULL,NULL,0.82,0.86,0.8,0.82,0.86,0.8,0.824,0.824,3,False,False,160a,beta-carotene,,,,,,,,colour
allura red ac 129,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False,,,,,,,,,,colour
color fd&c red 40,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False,,,,,,,,,,colour
color blue 1 lake,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False,,,,,,,,,,colour
color blue 2 lake,synthetic,NULL,crystalline chemical,colour,NULL,NULL,NULL,0,0.98,0.8,0,0.98,0.8,0.614,0.614,2,False,False,,,,,,,,,,colour
artificial colors,synthetic,synthetic flavors,NULL,colour,NULL,crystalline chemical,NULL,0.99,0,0.8,0.99,0.98,0.8,0.617,0.911,2,True,False,,,,,,,,,,colour
dehydrated garlic,garlic,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False,,,,,,,,,,taste profile / spice
garlic flavouring,garlic,NULL,extract/oleoresin,flavouring agent,solvent extraction,NULL,taste profile / spice,0,0.86,0.675,0.82,0.86,0.675,0.528,0.774,2,True,False,,,,,,,,,,flavouring agent
corn syrup solids,corn,?enzymatic treatment,syrup,sweetener|bulking agent,NULL,concentrate|powder,NULL,0,0.4,0.625,0,0.42,0.625,0.37,0.376,2,False,True,,,,,,,,,,sweetener|bulking agent
candy sugar syrup,sugarcane,NULL,syrup,sweetener,refining,juice,NULL,0,0.4,0.625,0.75,0.5,0.625,0.37,0.625,2,False,False,,,,,,,,refined_sucrose,,sweetener
pasta di nocciole,hazelnut,milling,pulp/puree,base ingredient,NULL,NULL,NULL,0.28,0.25,0.12,0.28,0.25,0.12,0.207,0.207,1,False,False,,,,,,,,,,raw_agricultural_material
purée de noisette,hazelnut,NULL,pulp/puree,base ingredient,NULL,NULL,NULL,0,0.25,0.12,0,0.25,0.12,0.123,0.123,1,False,False,,,,,,,,,,raw_agricultural_material
roasted hazelnuts,hazelnut,roasting,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0.58,0.05,0.18,0.58,0.1,0.675,0.261,0.474,1,True,False,,,,,,,,,,taste profile / spice
haselnüsse türkei,hazelnut,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
noisettes turquie,hazelnut,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
magnesium sulfate,mineral,NULL,crystalline chemical,firming agent,NULL,NULL,NULL,0,0.98,0.45,0,0.98,0.45,0.474,0.474,2,False,False,,,mineral_nutrient,,,,,,,firming agent
magnesium taurate,mineral,NULL,crystalline chemical,firming agent,NULL,NULL,NULL,0,0.98,0.45,0,0.98,0.45,0.474,0.474,2,False,False,,,mineral_nutrient,,,,,,,firming agent
whole milk powder,milk,drying,powder,base ingredient,NULL,NULL,NULL,0.42,0.42,0.12,0.42,0.42,0.12,0.3,0.3,2,False,False,,,,,,,,,,processed_ingredient
camel milk powder,camel milk,drying,powder,base ingredient,NULL,NULL,NULL,0.42,0.42,0.12,0.42,0.42,0.12,0.3,0.3,2,False,False,,,,,,,,,,processed_ingredient
standardised milk,milk,pasteurization,NULL,base ingredient,NULL,NULL,NULL,0.48,0,0.12,0.48,0,0.12,0.192,0.192,1,False,False,,,,,,,,,,raw_agricultural_material
pudina flavouring,mint,NULL,extract/oleoresin,flavouring agent,solvent extraction,NULL,taste profile / spice,0,0.86,0.675,0.82,0.86,0.675,0.528,0.774,2,True,False,,,,,,,,,,flavouring agent
soya bean extract,soybean,solvent extraction,extract/oleoresin,base ingredient,NULL,NULL,NULL,0.82,0.86,0.12,0.82,0.86,0.12,0.552,0.552,2,False,False,,,,,,,,,,raw_agricultural_material
steviol glycoside,stevia,solvent extraction,extract/oleoresin,sweetener,NULL,powder,flavouring agent,0.82,0.86,0.625,0.82,0.86,0.675,0.754,0.774,3,False,False,,,,,,,,,,sweetener
sweetener ins 960,stevia,solvent extraction,extract/oleoresin,sweetener,NULL,powder,flavouring agent,0.82,0.86,0.625,0.82,0.86,0.675,0.754,0.774,3,False,False,960,steviol glycosides,,,,,,,,sweetener
strawberry powder,strawberry,drying,powder,flavouring agent,NULL,NULL,taste profile / spice,0.42,0.42,0.675,0.42,0.42,0.675,0.522,0.522,2,False,False,,,,,,,,,,flavouring agent
candy sugar syrup,sugarcane,NULL,syrup,sweetener,refining,juice,NULL,0,0.4,0.625,0.75,0.5,0.625,0.37,0.625,2,False,False,,,,,,,,refined_sucrose,,sweetener
husked black gram,black gram,de-husking,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0.22,0.05,0.12,0.22,0.05,0.12,0.129,0.129,1,False,False,,,,,,,,,,raw_agricultural_material
distilled vinegar,sugarcane,fermentation|distillation,juice,acidity regulator,NULL,NULL,preservative,0.56,0.5,0.86,0.56,0.5,0.885,0.662,0.672,2,False,False,,,,,,,,,,acidity regulator
synthetic vinegar,synthetic,fermentation,juice,acidity regulator,NULL,NULL,preservative,0.56,0.5,0.86,0.56,0.5,0.885,0.662,0.672,2,False,False,,,,,,,,,,acidity regulator
vitamin a acetate,synthetic,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False,,,vitamin_fat_soluble,,,,,,,fortification_agent
retinyl palmitate,palm,NULL,NULL,NULL,solvent extraction,oil,NULL,0,0,0,0.82,0.7,0,0,0.456,1,True,False,,,,,,,,,,NULL
flax seed extract,flax,solvent extraction,extract/oleoresin,base ingredient,NULL,NULL,NULL,0.82,0.86,0.12,0.82,0.86,0.12,0.552,0.552,2,False,False,,,,,,,,,,raw_agricultural_material
almond flavouring,almond,NULL,extract/oleoresin,flavouring agent,solvent extraction,NULL,taste profile / spice,0,0.86,0.675,0.82,0.86,0.675,0.528,0.774,2,True,False,,,,,,,,,,flavouring agent
acidity regulator,synthetic | mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False,,,,,,,,,,acidity regulator
coagulant ins 575,corn,NULL,NULL,coagulant,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,False,False,575,,,,,,,,,coagulant
calcium phosphate,mineral,NULL,crystalline chemical,firming agent,NULL,NULL,anticaking agent,0,0.98,0.45,0,0.98,0.85,0.474,0.634,2,False,False,,,,,,,,,,firming agent
humectant ins 451,synthetic,NULL,NULL,humectant,NULL,crystalline chemical,NULL,0,0,0.425,0,0.98,0.425,0.17,0.464,1,True,False,451,triphosphates,,,,,,,,humectant
humectant ins 452,synthetic,NULL,NULL,humectant,NULL,crystalline chemical,NULL,0,0,0.425,0,0.98,0.425,0.17,0.464,1,True,False,452,polyphosphates,,,,,,,,humectant
sodium phosphates,mineral,NULL,crystalline chemical,acidity regulator|emulsifier|sequestrant,NULL,NULL,NULL,0,0.98,0.91,0,0.98,0.91,0.658,0.658,2,False,False,,,,,,,,,,acidity regulator|emulsifier|sequestrant
calcium carbonate,mineral,NULL,crystalline chemical,anticaking agent|colour,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False,,,,,,,,,,anticaking agent|colour
asafoetida powder,asafoetida,NULL,powder,taste profile / spice,?compounding,extract/oleoresin,flavouring agent,0,0.42,0.18,0.35,0.86,0.675,0.198,0.633,1,True,True,,,,,,,,,,taste profile / spice
stabilizer ns 415,corn,NULL,NULL,stabiliser,NULL,powder,thickener,0,0,0.65,0,0.42,0.65,0.26,0.386,1,True,False,,,,,,,,,,stabiliser
thickener ins 415,corn,NULL,NULL,thickener,NULL,powder,stabiliser,0,0,0.615,0,0.42,0.65,0.246,0.386,1,True,False,415,xanthan gum,,,,,,,,thickener
coriander extract,coriander,solvent extraction,extract/oleoresin,taste profile / spice,NULL,essential oil,flavouring agent,0.82,0.86,0.18,0.82,0.9,0.675,0.576,0.786,2,True,False,,,,,,,,,,taste profile / spice
citrus pulp cells,citrus,NULL,pulp/puree,base ingredient,NULL,whole/fresh pieces,thickener,0,0.25,0.12,0,0.25,0.615,0.123,0.321,1,True,False,,,,,,,,,,raw_agricultural_material
orange pulp cells,orange,NULL,pulp/puree,base ingredient,NULL,whole/fresh pieces,thickener,0,0.25,0.12,0,0.25,0.615,0.123,0.321,1,True,False,,,,,,,,,,raw_agricultural_material
orange flavouring,orange,NULL,NULL,flavouring agent,NULL,extract/oleoresin|essential oil,taste profile / spice,0,0,0.675,0,0.9,0.675,0.27,0.54,1,True,False,,,,,,,,,,flavouring agent
turmeric extracts,turmeric,solvent extraction,extract/oleoresin,colour,NULL,essential oil,taste profile / spice,0.82,0.86,0.8,0.82,0.9,0.8,0.824,0.836,3,False,False,,,,,,,,,,colour
double toned milk,milk,NULL,NULL,base ingredient,NULL,skim/defatted meal,NULL,0,0,0.12,0,0.55,0.12,0.048,0.213,1,False,False,,,,,,,,,,raw_agricultural_material
standardised milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material
standardized milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material
sweetener ins 950,synthetic,NULL,crystalline chemical,sweetener,NULL,NULL,NULL,0,0.98,0.625,0,0.98,0.625,0.544,0.544,2,False,False,950,acesulfame potassium,,,,,,,,sweetener
antifoaming agent,synthetic,NULL,NULL,antifoaming agent,NULL,crystalline chemical,NULL,0,0,0.9,0,0.98,0.9,0.36,0.654,2,False,False,,,,,,,,,,antifoaming agent
anticaking agents,mineral,NULL,crystalline chemical,anticaking agent,NULL,NULL,NULL,0,0.98,0.85,0,0.98,0.85,0.634,0.634,2,False,False,,,,,,,,,,anticaking agent
coffee flavouring,coffee,NULL,extract/oleoresin,flavouring agent,roasting|solvent extraction,essential oil,taste profile / spice,0,0.86,0.675,0.82,0.9,0.675,0.528,0.786,2,True,False,,,,,,,,,,flavouring agent
dry cassia leaves,cassia,drying,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False,,,,,,,,,,taste profile / spice
bengal gram flour,bengal gram,milling,flour/fine powder,base ingredient,NULL,NULL,thickener,0.28,0.33,0.12,0.28,0.33,0.615,0.231,0.429,1,True,False,,,,,,,,,,raw_agricultural_material
bengal gram grits,bengal gram,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False,,,,,,,,,,raw_agricultural_material
split bengal gram,bengal gram,NULL,cut/sliced pieces,base ingredient,NULL,NULL,NULL,0,0.1,0.12,0,0.1,0.12,0.078,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
black pepper bits,black pepper,NULL,cut/sliced pieces,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0,0.1,0.18,0.42,0.42,0.675,0.102,0.522,1,True,False,,,,,,,,,,taste profile / spice
thickener ins 466,wood pulp | cotton,NULL,powder,thickener,NULL,modified starch powder,stabiliser,0,0.42,0.615,0,0.96,0.65,0.372,0.548,2,False,False,466,sodium carboxymethyl cellulose,,,,,,,,thickener
red chilli flakes,red chilli,drying,flakes,taste profile / spice,NULL,cut/sliced pieces,flavouring agent|colour,0.42,0.36,0.18,0.42,0.36,0.8,0.306,0.554,2,False,False,,,,,,,,,,taste profile / spice
red chilli powder,red chilli,drying,powder,taste profile / spice,NULL,NULL,flavouring agent|colour,0.42,0.42,0.18,0.42,0.42,0.8,0.324,0.572,2,False,False,,,,,,,,,,taste profile / spice
red chilly flakes,red chilli,drying,flakes,taste profile / spice,NULL,cut/sliced pieces,flavouring agent|colour,0.42,0.36,0.18,0.42,0.36,0.8,0.306,0.554,2,False,False,,,,,,,,,,taste profile / spice
red chilly powder,red chilli,drying,powder,taste profile / spice,NULL,NULL,flavouring agent|colour,0.42,0.42,0.18,0.42,0.42,0.8,0.324,0.572,2,False,False,,,,,,,,,,taste profile / spice
chromium chloride,mineral,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False,,,,,,,,,,NULL
citrus pulp cells,citrus,NULL,pulp/puree,base ingredient,NULL,whole/fresh pieces,thickener,0,0.25,0.12,0,0.25,0.615,0.123,0.321,1,True,False,,,,,,,,,,raw_agricultural_material
orange pulp cells,orange,NULL,pulp/puree,base ingredient,NULL,whole/fresh pieces,thickener,0,0.25,0.12,0,0.25,0.615,0.123,0.321,1,True,False,,,,,,,,,,raw_agricultural_material
candied cranberry,cranberry,NULL,whole/fresh pieces,sweetener,NULL,NULL,NULL,0,0.05,0.625,0,0.05,0.625,0.265,0.265,1,False,False,,,,,,,,,,sweetener
thickener ins 414,acacia tree,NULL,gum,thickener,NULL,powder,stabiliser|emulsifier,0,0,0.615,0,0.42,0.825,0.246,0.456,1,True,False,414,acacia gum (gum arabic),,,,,,,,thickener
cake gel ins 470a,palm | soybean | sunflower,NULL,NULL,emulsifier,NULL,emulsifier powder,stabiliser,0,0,0.825,0,0.89,0.825,0.33,0.597,2,False,False,470a,,,,,,,,,emulsifier
thickener ins 508,mineral,NULL,crystalline chemical,thickener,NULL,NULL,firming agent,0,0.98,0.615,0,0.98,0.615,0.54,0.54,2,False,False,508,potassium chloride,,,,,,,,thickener
improver ins 1100,aspergillus oryzae,fermentation,NULL,flour treatment agent,NULL,powder,NULL,0.56,0,0.93,0.56,0.42,0.93,0.54,0.666,2,False,False,1100,alpha-amylase,,,,,,,,flour treatment agent
improver ins 1102,aspergillus niger,fermentation,NULL,flour treatment agent,NULL,powder,NULL,0.56,0,0.93,0.56,0.42,0.93,0.54,0.666,2,False,False,1102,glucose oxidase,,,,,,,,flour treatment agent
improver ins 1104,aspergillus oryzae,fermentation,NULL,flour treatment agent,NULL,powder,NULL,0.56,0,0.93,0.56,0.42,0.93,0.54,0.666,2,False,False,1104,lipases,,,,,,,,flour treatment agent
humectant ins 422,palm | soybean | sunflower,NULL,NULL,humectant,NULL,crystalline chemical,sweetener,0,0,0.425,0,0.98,0.625,0.17,0.544,1,True,False,422,glycerol,,,,,,,,humectant
green gram flakes,green gram,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False,,,,,,,,,,raw_agricultural_material
husked green gram,green gram,de-husking,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0.22,0.05,0.12,0.22,0.05,0.12,0.129,0.129,1,False,False,,,,,,,,,,raw_agricultural_material
whole green moong,green gram,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
moong dal protein,green gram,NULL,protein concentrate,base ingredient,NULL,NULL,NULL,0,0.74,0.12,0,0.74,0.12,0.27,0.27,1,False,False,,,,,,,plant_protein,,,processed_ingredient
green tea extract,green tea,solvent extraction,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0.82,0.86,0.675,0.82,0.86,0.675,0.774,0.774,3,False,False,,,,,,,,,,flavouring agent
thickener ins 412,guar bean,NULL,powder,thickener|stabiliser,NULL,NULL,gelling agent,0,0.42,0.65,0,0.42,0.675,0.386,0.396,2,False,False,412,guar gum,,,,,,,,thickener|stabiliser
electrolytic iron,mineral,NULL,crystalline chemical,base ingredient,?electrolysis,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,True,,,mineral_nutrient,,,,,,,fortification_agent
dehydrated kachri,kachri,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0.42,0.05,0.18,0.42,0.1,0.675,0.213,0.426,1,True,False,,,,,,,,,,taste profile / spice
soyabean lecithin,soybean,solvent extraction,emulsifier powder,emulsifier,NULL,NULL,stabiliser,0.82,0.89,0.825,0.82,0.89,0.825,0.843,0.843,3,False,False,,,,,,,,,,emulsifier
litchi flavouring,litchi,NULL,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0,0.86,0.675,0,0.86,0.675,0.528,0.528,2,False,False,,,,,,,,,,flavouring agent
